,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,Ternate,0.8,127.4,80.69,80,100,6.15,ID,1612367711
303,Rundu,-17.9333,19.7667,81.9,59,99,3.51,NA,1612367712
304,Ossora,59.2353,163.0719,25.29,94,100,12.84,RU,1612367713
305,Fairfield,41.2668,-73.3162,34.0,69,90,10.36,US,1612367715
306,Mareeba,-17.0,145.4333,75.2,94,75,1.72,AU,1612367716
307,Aswān,24.0934,32.907,81.39,15,75,17.49,EG,1612367711
308,Sergeevka,53.88,67.4158,20.93,98,98,6.06,KZ,1612367718
309,Mount Gambier,-37.8333,140.7667,55.4,88,100,4.61,AU,1612367719
310,Cockburn Town,21.4612,-71.1419,72.68,62,18,7.96,TC,1612367720
311,Ullapool,57.8987,-5.1604,35.01,73,98,8.99,GB,1612367721
312,Boa Vista,2.8197,-60.6733,80.6,74,75,10.36,BR,1612367529
313,Kiryat Gat,31.61,34.7642,71.01,53,0,1.99,IL,1612367723
314,Vuyyūru,16.3667,80.85,73.4,88,0,3.78,IN,1612367725
315,Padilla,3.2204,-76.3139,80.6,65,75,6.91,CO,1612367726
316,Heraclea,37.5133,34.0467,47.46,67,100,2.57,TR,1612367727
317,Devils Lake,48.1128,-98.8651,23.0,93,90,13.8,US,1612367728
318,Champerico,14.3,-91.9167,80.6,69,0,5.88,GT,1612367729
319,Alghero,40.5589,8.3181,60.8,77,0,14.97,IT,1612367730
320,Nuevo Progreso,23.1667,-97.95,71.01,59,37,5.99,MX,1612367731
321,Kodinsk,58.6881,99.1844,-1.26,91,100,2.59,RU,1612367732
322,Tara,56.8944,74.371,9.28,96,55,5.93,RU,1612367734
323,Bintulu,3.1667,113.0333,78.8,94,40,4.61,MY,1612367735
324,Harper,4.375,-7.7169,82.45,78,17,8.08,LR,1612367736
325,Mount Barker,-35.0667,138.8667,70.0,57,100,2.57,AU,1612367737
326,Cherskiy,68.75,161.3,7.52,86,75,7.43,RU,1612367738
327,Iquique,-20.2208,-70.1431,73.4,53,0,18.41,CL,1612367530
328,Poronaysk,49.2167,143.1167,-26.55,81,25,2.95,RU,1612367740
329,Berdigestyakh,62.0989,126.6992,-33.09,83,100,3.27,RU,1612367741
330,Batticaloa,7.7102,81.6924,77.72,78,95,13.22,LK,1612367742
331,Rio Grande,-32.035,-52.0986,80.6,89,75,4.61,BR,1612367744
332,Westport,41.1415,-73.3579,34.0,69,90,9.22,US,1612367745
333,Qarqīn,37.4185,66.0436,50.4,63,0,1.45,AF,1612367746
334,‘Āhuimanu,21.4447,-157.8378,73.4,73,90,8.05,US,1612367747
335,Asău,46.4333,26.4,37.4,100,90,13.8,RO,1612367748
336,Charagua,-19.8,-63.2167,69.8,88,90,5.01,BO,1612367749
337,Coaraci,-14.6408,-39.5511,78.06,91,94,4.23,BR,1612367750
338,Chicama,-7.8447,-79.1469,71.6,78,33,9.22,PE,1612367751
339,Talwandi Bhai,30.85,74.9333,52.29,77,13,8.86,IN,1612367752
340,Independence,39.0911,-94.4155,39.99,80,1,8.05,US,1612367675
341,Borogontsy,62.6683,131.1683,-40.02,80,100,3.65,RU,1612367755
342,Naryan-Mar,67.6713,53.087,3.76,94,88,7.72,RU,1612367756
343,Inta,66.0317,60.1659,8.33,95,99,10.8,RU,1612367757
344,Vanavara,60.34,102.2797,-17.59,88,99,2.44,RU,1612367758
345,Pisco,-13.7,-76.2167,73.4,78,0,10.36,PE,1612367667
346,Husavik,66.0449,-17.3389,19.4,73,0,13.4,IS,1612367760
347,Lavrentiya,65.5833,-171.0,-10.37,83,57,15.23,RU,1612367761
348,Novaya Ladoga,60.1025,32.3019,23.0,72,100,5.26,RU,1612367762
349,Katobu,-4.9408,122.5276,76.39,91,100,1.21,ID,1612367764
350,Honggang,46.4667,124.8667,-13.58,83,0,8.08,CN,1612367765
351,Sakaiminato,35.55,133.2333,37.4,65,75,8.05,JP,1612367766
352,Moramanga,-18.9333,48.2,68.11,95,96,4.07,MG,1612367767
353,Iberia,29.9502,-91.7507,48.99,70,1,6.91,US,1612367768
354,Avera,33.194,-82.5271,42.01,45,1,8.05,US,1612367769
355,Sisimiut,66.9395,-53.6735,-2.52,78,31,12.03,GL,1612367770
